,Nom
778,anselme
779,anselmetti
780,anselmi
781,anselmier
782,anselmini
783,anselmino
784,anselmo
785,ansermet
786,ansermier
787,ansermin
788,ansermot
789,ansermoz
790,anslinger
791,ansola
792,ansoldi
793,ansorge
794,ansovini
795,anspach
796,anstätt
797,antemati
798,antenen
799,antener
800,antes
801,anthamatten
802,anthenien
803,anthieni
804,anthoine
805,anthon
806,anthonet
807,anthonien
808,anthonioz
809,anthony
810,antieni
811,antiglio
812,antille
813,antmann
814,antognazza
815,antognazzi
816,antognini
817,antognoli
818,antoine
819,antoli-candela
820,antolini
821,anton
822,antonelli
823,antonello
824,antonetti
825,antoniades
826,antoniazza
827,antoniazzi
828,antoniazzo
829,antonier
830,antonietta
831,antonietti
832,antonin
833,antonini
834,antoniol
835,antonioli
836,antoniotti
837,antonnier
838,antony
839,antorini
840,antosiewicz
841,antrag
842,anwander
843,anz
844,anzani
845,anzevui
846,anzévui
847,anzi
848,anzini
849,anzola
850,anzoli
851,anzolin
852,anzovino
853,aostalli
854,aostalli-adamini
855,apafi
856,apel
857,apelbaum
858,apell
859,apitzsch
860,apo
861,apolinari
862,apolloni
863,apori
864,apostoli
865,apotheker
866,apothélos
867,apothéloz
868,app
869,appel
870,appenzeller
871,appert
872,appetito
873,appia
874,appiani
875,appius
876,appl
877,appoloni
878,apprederis
879,aprato
880,april
881,aprile
882,apter
883,aquilar
884,aquilini
885,aquillon
886,aquilon
887,arabian
888,aragi
889,aragni
890,aragno
891,arago
892,aramini
893,arandel
894,arani
895,arano
896,arányi
897,arb
898,arbajter
899,arbalétrier
900,arbalettaz
901,arbeiter
902,arbellay
903,arbenz
904,arber
905,arbese
906,arbeth
907,arbex
908,arbey
909,arbez dit arbel
910,arbini
911,arbogast
912,arbore
913,arbter
914,arbus
915,arcari
916,arcaro
917,archerda
918,archetti
919,archetto
920,archimi
921,archinard
922,arcidiaconu
923,arcioli
924,arcioni
925,arcon
926,arcotti
927,arcozzi
928,arczynski
929,ardenghi
930,ardenti
931,ardia
932,ardielli
933,ardin
934,ardissone
935,ardito
936,ardizio
937,ardizzi
938,ardizzoia
939,ardizzoni
940,arduini
941,ardüser
942,aregger
943,arens
944,arenson
945,arezki
946,arfini
947,argand
948,argast
949,argenta
950,argenti
951,argenton
952,argo
953,arguto
954,arheit
955,ariatta
956,aricci
957,arici
958,arienti
959,aries
960,ariger
961,arigoni
962,arioli
963,arizzoli
964,arlati
965,arlaud
966,arlen
967,arlettaz
968,arletti
969,arlt
970,arluna
971,arm
972,arma
973,armaganian
974,arman
975,armanaschi
976,armand
977,armangau
978,armanini
979,armanni
980,armari
981,armati
982,armattoe
983,armbruster
984,armellini
985,armellino
986,armici
987,armleder
988,armoneit
989,arms
990,armspach
991,armuzzi
992,arn
993,arnaboldi
